	code	eps_x	eps_yoy	bvps	roe_x	epcf	net_profits_x	profits_yoy	distrib	report_date	roe_y	net_profit_ratio	gross_profit_rate	net_profits_y	eps_y	business_income	bips	arturnover	arturndays	inventory_turnover	inventory_days	currentasset_turnover	currentasset_days	mbrg	nprg	nav	targ	epsg	seg	currentratio	quickratio	cashratio	icratio	sheqratio	adratio	cf_sales	rateofreturn	cf_nm	cf_liabilities	cashflowratio
2155	300588	0.15	102.85	NaN	4.81	NaN	1495.4	170.55	NaN	08-22	4.75	4.58	21.908	14.954	0.1495	326.3766	3.2637	1.1383	158.1305	1.54	116.8831	0.4961	362.8301	59.0887	170.4464	NaN	NaN	102.8494	NaN	1.7077	1.3157	25.9846	-1158.7869	43.582	56.418	-0.3328	-0.1505	-7.1741	-0.2668	-27.5178
2156	002513	0.18	-5.26	NaN	2.39	NaN	6075.57	-5.15	NaN	08-22	2.37	7.13	29.7272	60.7557	0.1786	851.4681	2.5036	2.704	66.568	3.1229	57.6387	0.7069	254.6329	25.2279	-5.1548	3.508	4.419	-5.2632	3.508	0.8839	0.7607	39.0631	318.2365	59.553	40.447	0.1684	0.0334	2.3606	0.0826	9.6069
2157	002513	0.18	-5.26	NaN	2.39	NaN	6075.57	-5.15	NaN	08-22	2.37	7.13	29.7272	60.7557	0.1786	851.4681	2.5036	2.704	66.568	3.1229	57.6387	0.7069	254.6329	25.2279	-5.1548	3.508	4.419	-5.2632	3.508	0.8839	0.7607	39.0631	318.2365	59.553	40.447	0.1684	0.0334	2.3606	0.0826	9.6069
2158	600537	0.03	-87.5	NaN	0.91	NaN	2955.0	-89.38	NaN	08-22	0.82	1.23	14.0709	29.55	0.0251	2392.9816	2.0342	2.2972	78.3563	5.3121	33.8849	0.6832	263.466	-25.0462	-89.3804	21.196	3.5136	-87.5	21.196	1.547	1.3758	75.5526	665.1409	51.773	48.227	-0.1094	-0.0379	-8.8611	-0.0786	-11.9492
2159	600537	0.03	-87.5	NaN	0.91	NaN	2955.0	-89.38	NaN	08-22	0.82	1.23	14.0709	29.55	0.0251	2392.9816	2.0342	2.2972	78.3563	5.3121	33.8849	0.6832	263.466	-25.0462	-89.3804	21.196	3.5136	-87.5	21.196	1.547	1.3758	75.5526	665.1409	51.773	48.227	-0.1094	-0.0379	-8.8611	-0.0786	-11.9492
2160	002863	0.18	-5.26	NaN	4.94	NaN	3412.06	10.11	NaN	08-22	3.87	2.96	17.8728	34.1206	0.154	1148.9275	5.187	3.3277	54.0914	1.6077	111.9612	0.7147	251.8539	7.895	2.9373	NaN	NaN	-5.2632	NaN	0.8395	0.5093	21.6718	182.3155	25.0221	74.9779	-0.1912	-0.0617	-6.4982	-0.0823	-9.846
2161	002863	0.18	-5.26	NaN	4.94	NaN	3412.06	10.11	NaN	08-22	3.87	2.96	17.8728	34.1206	0.154	1148.9275	5.187	3.3277	54.0914	1.6077	111.9612	0.7147	251.8539	7.895	2.9373	NaN	NaN	-5.2632	NaN	0.8395	0.5093	21.6718	182.3155	25.0221	74.9779	-0.1912	-0.0617	-6.4982	-0.0823	-9.846
2162	600891	0.13	-43.48	NaN	2.72	NaN	7999.77	-43.92	NaN	08-22	2.68	2.76	8.1477	79.9977	0.1295	2895.2053	4.6879	5.1808	34.7437	1.149	156.658	0.6201	290.2758	10.561	-43.7792	3.1091	47.3381	-43.4783	3.2313	2.9404	1.321	31.5074	270.0451	50.7889	49.2111	-0.4671	-0.2288	-16.8125	-0.465	-78.059
2163	600891	0.13	-43.48	NaN	2.72	NaN	7999.77	-43.92	NaN	08-22	2.68	2.76	8.1477	79.9977	0.1295	2895.2053	4.6879	5.1808	34.7437	1.149	156.658	0.6201	290.2758	10.561	-43.7792	3.1091	47.3381	-43.4783	3.2313	2.9404	1.321	31.5074	270.0451	50.7889	49.2111	-0.4671	-0.2288	-16.8125	-0.465	-78.059
2164	600558	0.03	-21.88	NaN	1.21	NaN	2257.37	-21.24	NaN	08-22	1.21	2.24	16.2187	22.5737	0.0251	1005.5988	1.1203	5.1023	35.2782	2.176	82.7206	0.7582	237.4044	24.3458	-18.9136	1.25	5.5065	-21.875	1.1158	1.8863	1.3023	25.2061	695.1785	72.9505	27.0495	-0.0598	-0.0214	-2.0976	-0.0791	-8.5958
